username,password,role
admin,admin123,admin
hod,hod123,hod
teacher1,pass1,teacher
teacher2,pass2,teacher
teacher3,pass3,teacher
teacher4,pass4,teacher
teacher5,pass5,teacher
teacher6,pass6,teacher
teacher7,pass7,teacher
teacher8,pass8,teacher
teacher9,pass9,teacher
teacher10,pass10,teacher
teacher11,pass11,teacher
teacher12,pass12,teacher
teacher13,pass13,teacher
teacher14,pass14,teacher
teacher15,pass15,teacher
teacher16,pass16,teacher
teacher17,pass17,teacher
teacher18,pass18,teacher
teacher19,pass19,teacher
teacher20,pass20,teacher
student1,stud1,student
student2,stud2,student
student3,stud3,student
student4,stud4,student
